APFP,COUNT
14944620,1
14944621,2
14944622,10
14944623,11
14944624,1
14944625,1
14944627,1
14944631,3
14944804,1
14944809,1
14944810,15
14944811,2
14944814,3
14944816,2
14944817,1
14944837,3
14944850,1
14945313,7
14945314,24
14945315,25
14945316,695
14945317,791
14945318,142
14945319,68
14945320,65
14945321,11
14945322,25
14945323,16
14945324,19
14945325,13
14945326,10
14945327,24
14945328,19
14945329,8
14945330,3
14945331,2
14945332,8
14945333,4
14945334,1
14945337,1
14945339,2
14945340,1
14945345,26
14945346,42
14945347,2
14945348,198
14945349,748
14945350,115
14945351,99
14945352,87
14945353,121
14945354,182
14945355,90
14945356,51
14945357,17
14945358,29
14945359,34
14945360,24
14945361,7
14945362,4
14945363,5
14945364,7
14945367,2
14945369,2
14945370,5
14945371,1
14945373,2
14945569,1900
14945571,233
14945572,1262
14945573,275
14945574,293
14945575,222
14945576,102
14945577,82
14945578,87
14945579,106
14945580,71
14945581,25
14945582,2
14945583,26
14945584,28
14945585,10
14945586,6
14945587,5
14945588,5
14945589,5
14945591,3
14945592,1
14945593,2
14945594,1
14945595,1
14945603,2
14945604,6
14945605,6
14945606,6
14945607,1
14945608,2
14945609,16
14945610,3
14945612,65
14945613,2
14945614,1
14945615,1
14945617,1
14946338,20
14946339,32
14946340,33
14946341,66
14946342,4
14946343,7
14946344,28
14946345,31
14946346,24
14946347,29
14946348,92
14946349,8
14946350,10
14946351,1
14946352,4
14946353,12
14946354,7
14946356,4
14946357,1
14946358,1
14946359,3
14946362,2
14946363,1
14948482,1
14948483,32
14948486,1
14948487,1
14948488,1
14948489,1
14948490,1
14949412,16
14949413,1
14949442,2
14949443,61
14949444,56
14949445,35
14949446,24
14949447,3
14949449,13
14949450,5
14949451,1
14949452,3
14949454,5
14949475,1
14949482,1
14949507,2
14949508,9
14949509,28
14949510,37
14949511,13
14949512,12
14949513,6
14949514,1
14949515,15
14949519,1
14949520,6
14949521,2
14949522,1
14949524,1
14949526,1
14949530,1
15270947,2
15270948,6
15270949,6
15270950,4
15270951,34
15270952,7
15270953,12
15270954,15
15270955,2
15270956,4
15270957,2
15270958,1
15270959,1
15270960,3
15270961,3
15270962,2
15270979,27
15270980,25
15270981,17
15270982,12
15270983,9
15270984,11
15270985,13
15270986,33
15270987,1
15270988,2
15270989,1
15270990,1
15270991,1
15271011,7
15271012,1
15271013,2
15271015,2
15271016,1
15271020,1
15271023,1
15271044,2
15271045,1
15271053,1
15271054,1
15271055,1
15271234,3
15271235,8
15271236,52
15271237,22
15271238,48
15271239,37
15271240,27
15271241,24
15271242,20
15271243,21
15271244,46
15271245,34
15271246,29
15271247,16
15271248,11
15271249,4
15271250,1
15271265,95
15271266,8
15271267,92
15271268,32
15271269,74
15271270,33
15271271,43
15271272,69
15271273,20
15271274,26
15271275,38
15271276,22
15271277,9
15271278,15
15271279,14
15271280,1
15271281,4
15272002,23
15272003,5
15272004,31
15272005,6
15272006,14
15272007,38
15272008,2
15272009,3
15272010,27
15272012,5
15272016,1
15272034,44
15272035,1
15272037,1
15272038,1
15272039,4
15272040,2
15272041,1
15272043,1
15272048,1
15272258,33
15272259,32
15272260,1
15272263,7
15272264,1
15272265,3
15272266,1
15272267,1
15272268,1
15272270,1
15272273,1
15272290,4
15272291,1
15272292,2
15272293,2
15272295,4
15272296,3
15272297,1
15272302,1
15272303,1
15272304,1
15272995,6
15272997,4
15272998,2
15272999,3
15273000,3
15273001,12
15273002,1
15273003,7
15273004,4
15273005,2
15273007,1
15273008,1
15273009,1
15273029,1
15273030,2
15273031,2
15273032,14
15273033,10
15273034,2
15273035,4
15273036,2
15273040,1
15273252,57
15273253,18
15273254,37
15273255,11
15273256,4
15273257,39
15273258,2
15273259,4
15273260,29
15273261,2
15273262,5
15273263,2
15273264,1
15273265,1
15273266,1
15273284,5
15273285,1
15273286,6
15273287,1
15273288,1
15273292,1
15274030,1
15274031,1
15274032,3
15274034,1
15276161,1
15277122,34
15277126,1
15277128,1
15277188,2
15277191,1
15277195,22
15277197,5
15277352,1
15277354,1
15336482,14
15336483,18
15336484,11
15336485,40
15336486,25
15336487,20
15336488,25
15336489,14
15336490,14
15336491,23
15336492,15
15336493,12
15336494,10
15336495,5
15336496,3
15336497,4
15336498,3
15336499,1
15336500,1
15336501,1
15336514,32
15336515,54
15336516,67
15336517,69
15336518,64
15336519,56
15336520,74
15336521,29
15336522,29
15336523,38
15336524,34
15336525,7
15336526,21
15336527,15
15336528,7
15336529,3
15336530,1
15336546,2
15336547,5
15336548,9
15336549,16
15336550,2
15336551,4
15336552,12
15336553,8
15336554,4
15336555,3
15336556,1
15336557,1
15336558,1
15336559,1
15336560,1
15336579,1
15336581,2
15336582,2
15336583,5
15336584,2
15336585,3
15336587,3
15336588,4
15336589,1
15336593,1
15336741,1
15336744,1
15336746,2
15336748,1
15336750,1
15336769,103
15336770,172
15336771,81
15336772,106
15336773,96
15336774,98
15336775,82
15336776,62
15336777,72
15336778,89
15336779,71
15336780,61
15336781,39
15336782,33
15336783,17
15336784,17
15336785,6
15336786,2
15336787,2
15336788,2
15336789,2
15336790,1
15336801,247
15336802,170
15336803,131
15336804,95
15336805,153
15336806,135
15336807,92
15336808,108
15336809,96
15336810,68
15336811,62
15336812,45
15336813,51
15336814,27
15336815,16
15336816,13
15336817,6
15336818,3
15336819,2
15336820,1
15336997,1
15337000,1
15337026,23
15337027,30
15337028,4
15337030,5
15337031,6
15337032,1
15337033,1
15337034,1
15337035,2
15337036,1
15337038,1
15337039,2
15337040,4
15337041,2
15337506,5
15337507,4
15337508,2
15337509,2
15337510,4
15337511,1
15337512,2
15337513,1
15337514,1
15337516,1
15337519,17
15337520,2
15337521,1
15337522,1
15337538,63
15337539,48
15337540,30
15337541,39
15337542,27
15337543,20
15337544,36
15337545,39
15337546,21
15337547,5
15337548,20
15337549,3
15337550,2
15337570,5
15337571,23
15337572,7
15337573,7
15337574,15
15337575,7
15337576,9
15337577,6
15337578,4
15337580,5
15337581,2
15337582,1
15337793,6
15337794,120
15337795,28
15337796,32
15337797,20
15337798,13
15337799,21
15337800,19
15337801,7
15337802,6
15337803,4
15337804,4
15337805,1
15337807,1
15337808,3
15337809,1
15337812,1
15337813,1
15337826,10
15337827,1
15337828,9
15337829,3
15337830,3
15337831,3
15337832,1
15337833,2
15337835,2
15337836,1
15337837,2
15337838,1
15337839,2
15338020,7
15338021,3
15338023,1
15338024,1
15338025,1
15338026,1
15338028,1
15338029,1
15338031,1
15338531,5
15338532,18
15338533,6
15338534,25
15338535,36
15338536,12
15338537,7
15338538,25
15338539,6
15338540,4
15338541,8
15338542,21
15338543,2
15338544,1
15338545,10
15338546,4
15338547,1
15338562,2
15338563,10
15338564,15
15338565,8
15338566,18
15338567,14
15338568,10
15338569,8
15338570,8
15338571,7
15338572,7
15338573,5
15338574,6
15338575,1
15338576,3
15338577,1
15338787,79
15338788,74
15338789,24
15338790,71
15338791,62
15338792,27
15338793,45
15338794,65
15338795,14
15338796,35
15338797,14
15338798,24
15338799,18
15338800,4
15338801,11
15338802,4
15338819,3
15338820,1
15338821,2
15338822,4
15338823,2
15338824,1
15338825,1
15338827,1
15339556,2
15339558,3
15339559,1
15339561,5
15339562,2
15339563,2
15339564,2
15339565,3
15339566,5
15339567,2
15339568,1
15339570,2
15341705,3
15342626,2
15342630,2
15342632,1
15342658,10
15342659,2
15342660,10
15342661,16
15342662,5
15342663,7
15342664,3
15342665,1
15342666,1
15342669,1
15342722,48
15342723,4
15342724,1
15342725,2
15342726,8
15342727,3
15342728,4
15342729,30
15342730,1
15342731,5
15342733,1
15342734,1
15342882,29
15342884,1
15342886,3
15342887,1
15342888,2
15342889,3
15342893,1
15342915,1
15342916,2
15342917,5
15342918,1
15342919,4
15342920,1
15342921,2
15342923,2
15342926,1
16843810,1
16843811,2
16843812,6
16843813,5
16843814,7
16843815,3
16843816,3
16843817,8
16843818,7
16843819,15
16843820,38
16843821,28
16843822,20
16843823,12
16843824,16
16843825,9
16843826,8
16843827,9
16843828,5
16843829,1
16843830,2
16843831,1
16843841,2
16843842,1
16843843,15
16843844,21
16843845,72
16843846,84
16843847,73
16843848,58
16843849,61
16843850,38
16843851,70
16843852,94
16843853,66
16843854,54
16843855,64
16843856,47
16843857,17
16843858,15
16843859,25
16843860,13
16843861,3
16843862,1
16843863,3
16843864,2
16843875,1
16843876,5
16843877,15
16843878,7
16843879,12
16843880,3
16843882,12
16843883,10
16843884,13
16843885,19
16843886,3
16843887,2
16843888,2
16843890,2
16843891,3
16843892,1
16843893,1
16843905,2
16843908,3
16843909,1
16843910,2
16843911,4
16843912,7
16843913,4
16843914,8
16843915,15
16843916,5
16843917,3
16843918,4
16843919,2
16843920,3
16843922,1
16843925,1
16843926,1
16844073,1
16844098,317
16844099,308
16844100,120
16844101,37
16844102,88
16844103,117
16844104,93
16844105,84
16844106,74
16844107,70
16844108,62
16844109,75
16844110,57
16844111,57
16844112,49
16844113,62
16844114,44
16844115,30
16844116,12
16844117,6
16844118,2
16844119,1
16844129,324
16844130,91
16844131,126
16844132,265
16844133,121
16844134,111
16844135,105
16844136,153
16844137,150
16844138,127
16844139,113
16844140,117
16844141,90
16844142,76
16844143,63
16844144,58
16844145,35
16844146,22
16844147,23
16844148,7
16844149,8
16844150,1
16844151,1
16844152,1
16844357,3
16844358,5
16844363,1
16844365,1
16844367,1
16844368,4
16844369,4
16844370,2
16844836,1
16844838,1
16844840,2
16844842,1
16844843,5
16844845,3
16844847,3
16844849,1
16844852,9
16844853,2
16844857,1
16844866,1
16844867,14
16844868,27
16844869,29
16844870,33
16844871,29
16844872,25
16844873,38
16844874,58
16844875,48
16844876,36
16844877,37
16844878,27
16844879,10
16844880,13
16844881,20
16844882,1
16844883,3
16844884,2
16844899,5
16844900,14
16844901,28
16844902,23
16844903,14
16844904,16
16844905,12
16844906,12
16844907,18
16844908,7
16844909,13
16844910,26
16844911,1
16844912,6
16844913,6
16844914,3
16844917,1
16844918,3
16845095,1
16845096,1
16845097,2
16845098,1
16845100,1
16845106,1
16845108,1
16845122,7
16845123,6
16845124,12
16845125,17
16845126,17
16845127,10
16845128,9
16845129,21
16845130,14
16845131,10
16845132,10
16845133,8
16845134,5
16845135,15
16845136,9
16845137,11
16845138,5
16845139,1
16845140,1
16845155,7
16845156,3
16845157,1
16845158,5
16845159,2
16845160,4
16845161,1
16845162,5
16845163,7
16845164,7
16845165,3
16845166,18
16845168,8
16845171,2
16845172,2
16845351,2
16845356,1
16845358,1
16845859,3
16845860,4
16845861,5
16845862,3
16845863,5
16845864,15
16845865,18
16845866,25
16845867,24
16845868,43
16845869,45
16845870,21
16845871,44
16845872,8
16845873,7
16845874,3
16845875,8
16845876,7
16845877,5
16845878,6
16845879,1
16845891,5
16845892,9
16845893,42
16845894,14
16845896,5
16845897,3
16845898,7
16845899,13
16845900,8
16845901,13
16845902,17
16845903,15
16845904,7
16845905,8
16845906,3
16845907,1
16845908,3
16845909,3
16845912,1
16845913,2
16846115,5
16846116,23
16846117,28
16846118,54
16846119,50
16846120,46
16846121,50
16846122,92
16846123,102
16846124,75
16846125,75
16846126,77
16846127,28
16846128,30
16846129,29
16846130,9
16846131,12
16846132,14
16846133,9
16846134,8
16846135,1
16846137,1
16846149,11
16846150,1
16846154,14
16846883,3
16846884,3
16846885,5
16846886,2
16846887,1
16846888,2
16846889,2
16846890,2
16846892,1
16846895,1
16846898,4
16846899,1
16846900,1
16846902,1
16846903,1
16849029,1
16849030,1
16849031,4
16849032,1
16849033,4
16849035,1
16849036,3
16849038,1
16849960,2
16849961,1
16849963,1
16849987,1
16849988,1
16849989,2
16849990,6
16849991,11
16849992,4
16849993,12
16849994,4
16849995,4
16849996,2
16849997,4
16849999,1
16850001,1
16850050,2
16850051,7
16850052,14
16850053,22
16850055,2
16850056,7
16850057,33
16850058,41
16850059,17
16850060,10
16850061,13
16850063,3
16850064,3
16850065,1
16850068,2
16850069,1
16850072,1
16850215,2
16850216,1
16850217,1
16850218,1
16850219,1
16850222,1
16850223,1
16850224,1
16850226,1
16850242,4
16850243,5
16850245,2
16850246,5
16850247,1
16850248,2
16850250,1
16850251,3
16850252,2
16850253,2
16850254,2
16850255,3
16850256,1
16850257,1
16850978,2
16850979,11
16850980,21
16850981,4
16850982,1
16850985,1
16851001,1
2163746,970
2163747,63
2163748,138
2163749,217
2163750,193
2163751,86
2163752,88
2163753,144
2163754,164
2163755,116
2163756,178
2163757,123
2163758,107
2163759,90
2163760,86
2163761,127
2163762,67
2163763,32
2163764,50
2163765,32
2163766,20
2163767,8
2163768,6
2163769,3
2163770,2
2163771,1
2163772,1
2163773,1
2163774,3
2229281,408
2229282,715
2229283,739
2229284,964
2229285,813
2229286,841
2229287,885
2229288,952
2229289,752
2229290,778
2229291,668
2229292,564
2229293,512
2229294,482
2229295,378
2229296,270
2229297,193
2229298,146
2229299,104
2229300,79
2229301,56
2229302,30
2229303,21
2229304,15
2229305,4
2229306,10
2229307,6
2229308,5
2229309,5
2229310,4
2229313,2048
2229314,2019
2229315,1667
2229316,1203
2229317,1051
2229318,962
2229319,879
2229320,868
2229321,803
2229322,665
2229323,454
2229324,331
2229325,310
2229326,262
2229327,188
2229328,133
2229329,96
2229330,62
2229331,43
2229332,27
2229333,19
2229334,16
2229335,14
2229336,8
2229337,8
2229338,7
2229339,6
2229340,7
2229341,7
2229342,2
2294817,693
2294818,131
2294819,101
2294820,104
2294821,215
2294822,158
2294823,171
2294824,208
2294825,138
2294826,66
2294827,66
2294828,135
2294829,122
2294830,57
2294831,62
2294832,97
2294833,17
2294834,8
2294835,30
2294836,26
2294837,9
2294838,5
2294839,3
2294840,2
2294841,2
2294843,1
2294844,1
2294845,3
2294846,1
2294849,1129
2294850,703
2294851,598
2294852,447
2294853,414
2294854,445
2294855,421
2294856,354
2294857,230
2294858,232
2294859,178
2294860,116
2294861,124
2294862,90
2294863,86
2294864,65
2294865,38
2294866,20
2294867,25
2294868,13
2294869,9
2294870,8
2294871,7
2294872,2
2294873,4
2294874,3
2294875,1
2294876,4
2294877,2
2294878,1
2294881,87
2294882,54
2294883,102
2294884,24
2294885,45
2294886,71
2294887,17
2294888,4
2294889,3
2294890,10
2294891,3
2294892,11
2294893,10
2294894,2
2294895,18
2294896,2
2294898,3
2294899,6
2294900,1
2294904,1
2294908,1
23135268,5
23135269,7
23135271,3
23135272,1
23135273,9
23135274,2
23135275,6
23135276,11
23135277,9
23135278,7
23135279,3
23135280,4
23135281,5
23135282,1
23135283,1
23135284,13
23135285,2
23135297,1
23135298,1
23135299,5
23135300,16
23135301,9
23135302,14
23135303,13
23135304,18
23135305,17
23135306,7
23135307,8
23135308,37
23135309,29
23135310,15
23135311,21
23135312,13
23135313,10
23135314,11
23135315,8
23135316,3
23135330,1
23135333,4
23135334,6
23135335,5
23135336,4
23135338,2
23135339,8
23135340,6
23135341,5
23135343,1
23135344,3
23135347,6
23135367,1
23135368,3
23135369,1
23135370,12
23135375,1
23135554,130
23135555,117
23135556,35
23135557,5
23135558,35
23135559,62
23135560,42
23135561,35
23135562,26
23135563,16
23135564,15
23135565,22
23135566,20
23135567,15
23135568,14
23135569,18
23135570,13
23135571,14
23135572,10
23135573,12
23135574,12
23135575,9
23135576,3
23135585,132
23135586,18
23135587,44
23135588,106
23135589,61
23135590,49
23135591,28
23135592,75
23135593,48
23135594,34
23135595,43
23135596,49
23135597,34
23135598,26
23135599,27
23135600,15
23135601,11
23135602,12
23135603,15
23135604,9
23135605,6
23135814,1
23135819,1
23135820,1
23135821,2
23135822,2
23135823,3
23135824,3
23136292,1
23136296,1
23136298,2
23136299,1
23136300,2
23136302,1
23136303,1
23136305,1
23136306,1
23136324,3
23136325,7
23136326,23
23136327,9
23136328,3
23136329,23
23136330,31
23136331,16
23136332,25
23136333,5
23136334,9
23136335,6
23136336,11
23136337,6
23136339,6
23136355,1
23136356,4
23136357,1
23136358,11
23136359,1
23136360,3
23136361,2
23136362,1
23136363,12
23136364,1
23136366,10
23136370,1
23136578,5
23136579,3
23136580,2
23136581,13
23136582,7
23136583,8
23136584,4
23136585,2
23136586,2
23136587,2
23136588,2
23136589,1
23136590,1
23136591,3
23136593,2
23136594,1
23136597,6
23136611,2
23136613,1
23136614,2
23136619,3
23136620,1
23136627,1
23136807,1
23136812,1
23136813,1
23137315,4
23137316,2
23137317,2
23137318,1
23137319,3
23137320,5
23137321,8
23137322,13
23137323,4
23137324,5
23137325,22
23137326,4
23137327,15
23137328,3
23137329,4
23137330,1
23137332,7
23137347,5
23137348,3
23137349,23
23137350,2
23137351,1
23137352,3
23137353,1
23137354,3
23137355,5
23137356,5
23137357,4
23137358,5
23137359,3
23137360,3
23137361,2
23137362,4
23137365,1
23137572,2
23137573,4
23137574,35
23137575,18
23137576,11
23137577,25
23137578,38
23137579,18
23137580,30
23137581,35
23137582,26
23137583,12
23137584,9
23137585,10
23137586,5
23137587,6
23137588,7
23137605,7
23137606,1
23137609,2
23137610,2
23138340,3
23138354,1
23138355,1
23140485,1
23140486,1
23140487,3
